CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,LATITUDE,LONGITUDE,INSTNM,State
1,2,22500.0,0.8009,27000.0,0.0067,0.0,0.0,0.01,1.0,0.0,0.0,1.0,0.5032,30.7932,-88.1289,University of Mobile,Alabama
1,1,15872.0,0.5872,23400.0,0.0,0.0,0.0,0.0307,0.0,0.0,0.0,1.0,0.4136,33.1063,-86.8651,University of Montevallo,Alabama
1,1,5500.0,0.2559,11500.0,0.0053,0.0438,0.0,0.0,0.0,0.0,0.0,0.0,0.5233,34.7396,-87.6773,Northwest-Shoals Community College,Alabama
1,1,12542.0,0.6883,21750.0,0.0137,0.0,0.0,0.0011,2.0,0.0,0.0,2.0,0.4192,34.8066,-87.681,University of North Alabama,Alabama
1,1,3500.0,0.0,5100.0,0.0214,0.0643,0.0,0.0,0.0,0.0,0.0,0.0,0.628,34.5455,-85.9117,Northeast Alabama Community College,Alabama
1,2,22000.0,0.7411,30500.0,0.0139,0.0,0.0,0.0194,1.0,0.0,0.0,1.0,0.5066,34.7566,-86.6616,Oakwood University,Alabama
1,1,9833.0,0.0,14144.0,0.0,0.1528,0.0,0.0,0.0,0.0,0.0,0.0,0.5602,31.4889,-87.3264,Alabama Southern Community College,Alabama
1,3,12667.0,0.8678,21739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6446,32.3831,-86.1622,Prince Institute-Southeast,Alabama
1,1,9833.0,0.0,14144.0,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701,31.4607,-86.9645,Reid State Technical College,Alabama
1,1,9833.0,0.0,14144.0,0.0258,0.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.6352,30.694,-88.057,Bishop State Community College,Alabama
1,2,20000.0,0.3653,23236.0,0.0074,0.0,0.0,0.0074,1.0,1.0,0.0,1.0,0.1494,33.4646,-86.7909,Samford University,Alabama
1,2,3775.0,0.7679,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,32.4204,-87.0338,Selma University,Alabama
1,1,9833.0,0.0,14144.0,0.0,0.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.5217,33.1205,-87.5615,Shelton State Community College,Alabama
1,1,3500.0,0.2344,4500.0,0.0465,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.5743,34.2007,-86.1695,Snead State Community College,Alabama
1,1,15000.0,0.5549,25000.0,0.0262,0.0,0.0656,0.0096,1.0,0.0,1.0,1.0,0.3743,30.6951,-88.1819,University of South Alabama,Alabama
1,2,20500.0,0.6564,27000.0,0.0,0.0,0.0047,0.0283,0.0,0.0,1.0,1.0,0.3328,30.6948,-88.1382,Spring Hill College,Alabama
1,2,19414.5,0.7877,30083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089,33.3789,-86.749,Southeastern Bible College,Alabama
1,2,19000.0,0.8145,38359.0,0.0,0.0,0.0,0.0219,0.0,0.0,0.0,1.0,0.7429,33.1992,-87.5852,Stillman College,Alabama
1,2,19000.0,0.928,32000.0,0.0256,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9663,33.4343,-86.1137,Talladega College,Alabama
1,1,9833.0,0.0,14144.0,0.042,0.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.6097,32.3501,-86.3431,H Councill Trenholm State Technical College,Alabama
1,1,17750.0,0.6414,26000.0,0.0413,0.003,0.0,0.0087,2.0,2.0,0.0,2.0,0.4758,31.8001,-85.9502,Troy University,Alabama
1,2,23687.5,0.7374,33250.0,0.0174,0.0,0.1512,0.0145,1.0,0.0,1.0,1.0,0.6453,32.431,-85.7103,Tuskegee University,Alabama
1,2,16248.0,0.6068,30095.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4701,30.6393,-87.9116,United States Sports Academy,Alabama
1,1,9833.0,0.0,14144.0,0.0138,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.5844,33.8358,-87.265,Bevill State Community College,Alabama
1,1,11336.5,0.286,20675.0,0.0281,0.0548,0.0396,0.0062,2.0,2.0,2.0,2.0,0.2473,61.1896,-149.8261,University of Alaska Anchorage,Alaska
1,2,9833.0,0.2,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182,62.113,-145.5262,Alaska Bible College,Alaska
1,1,11247.0,0.2676,20000.0,0.0037,0.0456,0.0688,0.0074,2.0,2.0,2.0,2.0,0.2349,64.8571,-147.8248,University of Alaska Fairbanks,Alaska
1,1,11750.0,0.209,19437.5,0.0109,0.0109,0.0109,0.0027,2.0,2.0,2.0,2.0,0.1834,58.3843,-134.6363,University of Alaska Southeast,Alaska
1,2,19250.0,0.4587,25125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2791,61.1912,-149.8042,Alaska Pacific University,Alaska
1,1,5500.0,0.1447,5583.0,0.0918,0.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,60.1107,-149.4446,AVTEC-Alaska's Institute of Technology,Alaska
1,3,9500.0,0.4152,13000.0,0.0828,0.0622,0.0,0.0,2.0,2.0,0.0,0.0,0.6598,61.1958,-149.8402,Charter College-Anchorage,Alaska
1,1,11336.5,0.2015,20675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092,61.1224,-146.178,Prince William Sound Community College,Alaska
1,3,8407.0,0.7894,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181,61.1814,-149.857,Alaska Career College,Alaska
0,3,6338.5,0.7408,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264,33.581,-112.1138,Everest College-Phoenix,Arizona
1,3,28354.0,0.9203,42103.0,0.0683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7475,33.4033,-111.9865,Collins College,Arizona
0,3,7392.0,0.6598,9522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6598,33.6026,-111.9764,Empire Beauty School-Paradise Valley,Arizona
1,3,5781.0,0.7386,9046.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843,32.2357,-110.9272,Empire Beauty School-Tucson,Arizona
0,2,6280.0,0.0,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6209,-112.1809,Thunderbird School of Global Management,Arizona
1,2,16750.0,0.6986,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7945,33.5777,-112.0922,American Indian College of the Assemblies of God Inc,Arizona
1,3,6069.0,0.7451,6215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933,33.4423,-112.1753,American Institute of Technology,Arizona
1,3,9475.0,0.6062,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255,33.5608,-112.1155,Carrington College-Phoenix,Arizona
1,3,9475.0,0.5289,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7296,33.393,-111.8553,Carrington College-Mesa,Arizona
1,3,9475.0,0.5356,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507,32.2709,-110.978,Carrington College-Tucson,Arizona
1,2,17636.0,0.9569,25667.5,0.0253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8431,35.2112,-111.6048,College America-Flagstaff,Arizona
1,3,5491.5,0.475,5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,32.2373,-110.8723,Arizona Academy of Beauty-East,Arizona
0,3,9500.0,0.7971,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7742,33.5372,-112.1573,Arizona Automotive Institute,Arizona
1,3,9500.0,0.6346,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609,33.5254,-112.1501,Brookline College-Phoenix,Arizona
1,1,16250.0,0.4784,20375.0,0.0273,0.0002,0.0669,0.0111,2.0,2.0,2.0,2.0,0.3376,33.4219,-111.94,Arizona State University-Tempe,Arizona
